"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","route_sort_order"
"57","Sitva-29","57","Bello Oriente","Directa Centro","3","","","",""
"055P","Sitva-30","055P","El Pinar Periférica","Directa Centro","3","","","",""
"141","Sitva-14","141","Guayabal La Raya","Directa Centro","3","","","",""
"087 Horario Esp","Sitva-31","087 Horario Esp","Pinar Torres horario esp","Directa Centro","3","","","",""
"191","Sitva-6","191","Laureles Éxito","Directa Centro","3","","","",""
"253iA","Sitva-17","253iA","Robledo Aures integrada","Integrada","3","","","",""
"105","Sitva-32","105","Golondrinas","Directa Centro","3","","","",""
"142","Sitva-14","142","Guayabal Viviendas del Sur","Directa Centro","3","","","",""
"142i","Sitva-14","142i","Metro Aguacatala","Integrada","3","","","",""
"105","Sitva-32","105","El Faro","Directa Centro","3","","","",""
"106","Sitva-32","106","Tres Esquinas","Directa Centro","3","","","",""
"C6-005","Sitva-0","C6-005","Cerros el Vergel - San José","Alimentadora","3","","","",""
"C6-005A","Sitva-0","C6-005A","Quinta Linda - San José","Alimentadora","3","","","",""
"C6-019","Sitva-0","C6-019","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
"C6-019A","Sitva-0","C6-019A","El Raizal - Jardín - Gardel","Alimentadora","3","","","",""
"C3-006A","Sitva-5","C3-006A","Ruta Alimentadora - Cuenca 3","Alimentadora","3","","","",""
"286","Sitva-23","286","Circular 286","Circular","3","","","",""
"93","Sitva-21","93","Caicedo La Toma","Directa Centro","3","","","",""
"93","Sitva-21","93","Caicedo","Directa Centro","3","","","",""
"93","Sitva-21","93","Caicedo La Toma Minorista","Directa Centro","3","","","",""
"193","Sitva-6","193","Laureles Nogal # 2","Directa Centro","3","","","",""
"193i","Sitva-6","193i","Estadio-Bolivariana-Laureles","Integrada","3","","","",""
"193ii","Sitva-6","193ii","Estadio-Laureles Santa Teresita","Integrada","3","","","",""
"246","Sitva-8","246","Blanquizal","Directa Centro","3","","","",""
"202i","Sitva-33","202i","El Morro-Travesías-Corazón-Santa Lucía","Integrada","3","","","",""
"203 Corazón","Sitva-33","203 Corazón","Corazón-Oriental","Directa Centro","3","","","",""
"313","Sitva-23","313","Terminal del Norte-Terminal del Sur","Circular","3","","","",""
"221A","Sitva-33","221A","San Javier Derecho-La Caseta-Oriental","Directa Centro","3","","","",""
"221B","Sitva-33","221B","San Javier Derecho-Cuatro Esquinas-Oriental","Directa Centro","3","","","",""
"221i","Sitva-33","221i","Villa Laura-San Javier","Integrada","3","","","",""
"222","Sitva-33","222","San Javier Niza - Oriental","Directa Centro","3","","","",""
"225i-1","Sitva-34","225i-1","20 de Julio","Integrada","3","","","",""
"143i","Sitva-14","143i","Aeropuerto Terminal del Sur-Mota-Metro","Integrada","3","","","",""
